Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Original Unit Price (USD),Quantity
17-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,134996.6,75000.0,,,,True,Real (Market),134996.6,1
17-Apr-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,134996.6,75000.0,,,,True,Real (Market),134996.6,1
12-Apr-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,135511.78,75000.0,,,,True,Real (Market),135511.78,1
10-Apr-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,135508.9,75000.0,,,,True,Real (Market),135508.9,1
30-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASESTOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-32-11KV 50 HZ 75 MVA Z=12.5% WITH TOLERANCE,India,Oman,134551.67,75000.0,,,,True,Real (Market),134551.67,1
30-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,134551.67,75000.0,,,,True,Real (Market),134551.67,1
29-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,134530.56,75000.0,,,,True,Real (Market),134530.56,1
27-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASESTOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-32-11KV 50 HZ 75 MVA Z=12.5% WITH TOLERANCE,India,Oman,134551.38,75000.0,,,,True,Real (Market),134551.38,1
13-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASESTOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-32-11KV 50 HZ 75 MVA Z=12.5% WITH TOLERANCE,India,Oman,132878.89,75000.0,,,,True,Real (Market),132878.89,1
27-Feb-15,85042320.0,"TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-33-11 KV , 50HZ 75 MVA Z-12.5% WITH TOLERAN",India,Oman,135947.64,75000.0,,,,True,Real (Market),135947.64,1
9-Jun-17,85042320.0,"THREE-PHASE POWER TRANSFORMER | SEA | TRO011846 | MODEL 60/75 MVA | POWER 60000 KVA, THREE WINDING, LEAD CHANGER UNDER LOAD, WITH ITS OIL CHARGE FOR USE IN TRANSFORMER | 1 UNITS",Italy,Chile,972500.0,60000.0,,,,True,Real (Market),972500.0,1
5-Apr-17,85042320.0,"TRANSFORMER >> POWER TRANSFORMERALONG 60-75MVA , 225-33-10 KV POWER TRANSFORMERALONG WITH ITS SPARE PARTS / ACCESSORIES / COMPONENT & INSULATING OIL DRUMS BEARING SR. NO. 12110-...",India,Mauritania,718403.93,75000.0,,,,True,Real (Market),718403.93,1
5-Oct-16,85042320.0,"TRANSFORMER >> POWER TRANSFORMER 132-33KV , 60-80 MVA POWER TRANSFORMER WITH ACCESSORIES AND OIL SR.NO.12109-001",India,Bangladesh,600538.46,80000.0,,,,True,Real (Market),600538.46,1
27-Oct-15,85042320.0,"TRANSFORMERS >> 61-333-TRANSFORMERS C.W 75000KVA , ABV63000 KVA UP&INC100000KVA WITH MSTANK&OIL W.A. P.T132-22KV , 75MVA S.13604 A.P.INV.",India,Kenya,583258.04,75000.0,,,,True,Real (Market),583258.04,1
27-Oct-15,85042320.0,"TRANSFORMERS >> 61-333-TRANSFORMERS C.W 75000KVA , ABV63000 KVA UP&INC100000 KVA WITH MSTANK&OIL , P.T-132-22KV , 75MVA S.13604 AS PER DOCUMENT",India,Kenya,583258.04,75000.0,,,,True,Real (Market),583258.04,1
24-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,132199.05,75000.0,,,,True,Real (Market),132199.05,1
23-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,132777.92,75000.0,,,,True,Real (Market),132777.92,1
20-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,133185.1,75000.0,,,,True,Real (Market),133185.1,1
20-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50HZ 75 MVA,India,Oman,133185.1,75000.0,,,,True,Real (Market),133185.1,1
17-Apr-15,85042320.0,TRANSFORMER >> KVA TRANSFORMER TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA TRANSFORMER 132-33-11KV 50 HZ 75 MVA,India,Oman,134996.6,75000.0,,,,True,Real (Market),134996.6,1
17-Apr-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,134996.6,75000.0,,,,True,Real (Market),134996.6,1
12-Apr-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,135511.78,75000.0,,,,True,Real (Market),135511.78,1
10-Apr-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,135508.9,75000.0,,,,True,Real (Market),135508.9,1
30-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,134551.67,75000.0,,,,True,Real (Market),134551.67,1
30-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASESTOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-32-11KV 50 HZ 75 MVA Z=12.5% WITH TOLERANCE,India,Oman,134551.67,75000.0,,,,True,Real (Market),134551.67,1
29-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000KVA 132-32-11KV 50 HZ 75 MVA Z+12.5% WITH TOLERANCE,India,Oman,134530.56,75000.0,,,,True,Real (Market),134530.56,1
27-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASESTOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-32-11KV 50 HZ 75 MVA Z=12.5% WITH TOLERANCE,India,Oman,134551.38,75000.0,,,,True,Real (Market),134551.38,1
13-Mar-15,85042320.0,TRANSFORMER >> TRANSFORMER OIL BASESTOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-32-11KV 50 HZ 75 MVA Z=12.5% WITH TOLERANCE,India,Oman,132878.89,75000.0,,,,True,Real (Market),132878.89,1
27-Feb-15,85042320.0,"TRANSFORMER >> TRANSFORMER OIL BASE STOCK & OTHER SPARE PARTS / ACCESSORIES / COMPONENT FOR 75 MVA 75000 KVA 132-33-11 KV , 50HZ 75 MVA Z-12.5% WITH TOLERAN",India,Oman,135947.64,75000.0,,,,True,Real (Market),135947.64,1
