Date,HSN Code,Description,Origin,Destination,Quantity,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer
27-Mar-23,85042310.0,"16 MVA 33KV/110-245-340V SINGLE PHASE, SHELLFORM, FURNACE TRANSFORMER, IDENTICAL & INTERCHANGEABLE TO THE EXISTING UNITS",Norway,India,1,1707636.1,16000.0,,,,True
25-Mar-23,85042330.0,13000772 BR.RECTIFIER BST0.7S-400V-00 GEAR MOTOR PARTS ACTUAL AND USER,Germany,India,2,361.91,,,,,False
23-Mar-23,85042310.0,Transformer ODC-533000/330-U1 Sr No. 2020088 partially disassembled with Accessories Temporary Import for Testing an,Russia,India,1,1512475.22,,,,,False
3-Mar-23,85042310.0,"IMPACT RECORDER & DRY AIR BOTTLEGOOD IMPORTED ON RETURNABEBASIS AFTER ERECTION, 1 SET SUPPLY OF TRANSFORMER,14 MVA,FU",Italy,India,1,1973.68,14000.0,,,,True
3-Mar-23,85042310.0,"NR,1 HV BUSHING + NR PUMP AS SPARE PARTS / ACCESSORIES / COMPONENT 1 SET SUPPLY OFTRANSFORMER,14KVA, FURNACE AND DISASSEMBLED PARTS.",Italy,India,1,10262.68,14.0,,,,False
3-Mar-23,85042310.0,"NR. 1 CONSERVATOR 1 SET COMPLETE WITH NR. 1 SET OF PIPES,NR. 4 WHEELS, NR, 1BUKOLZ RELAY, NR,2 AIR BREATHERS, NR.1 HY",Italy,India,1,38485.07,,,,,False
3-Mar-23,85042330.0,13000772 BR.RECTIFIER BST0.7S-400V-00,Germany,India,1,189.55,,,,,False
3-Mar-23,85042310.0,"MAIN FURNACE TRANSFORMER WITHOUT OIL INSIDE, 1 SET. SUPPLYOF TRANSFORMER,14 MVA,FURNACE,AND DISASSEMBLED PARTS.",Italy,India,1,429061.6,14000.0,,,,False
3-Mar-23,85042310.0,"SPARE PARTS / ACCESSORIES / COMPONENT & CONSUMABLES FOR ERECTION OF FURNACE TRANSFORMER 14 MVA, OIL FOR MAIN MACHINE 56 DRUMS=10192KGS SUPPLY O",Italy,India,56,14407.23,14000.0,,,,True
27-Feb-23,85042310.0,P/N:EA-PSBE 9200-210 3U BI DIRECTIONAL POWER SUPPLY SNO:2512330001,Singapore,India,1,10884.14,,,,,False
27-Feb-23,85042310.0,"P/N:EA-PSB 9200-210 3UBI DIRECTIONAL POWER SUPPLY-0. 200V0. 210A 15000W SNO:2512400001, 00002, 00003, 00004, 00005",Singapore,India,5,74360.51,,,,,False
27-Feb-23,85042310.0,"P/N:EA-PSBE 9200-210 3U BI DIRECTIONAL POWER SUPPLY SNO:2512330003,2512330002,2512330004",Singapore,India,3,33077.07,,,,,False
15-Feb-23,85042320.0,"Transformer 400/230 VAC-1KVA ESTEL, Type TR-0303, Vprimary 400 V,V Secondry 230 V, Phase 1,50Hz,Power 1 KVA",Malaysia,India,1,235.8,1.0,,400.0,0.23,True
14-Feb-23,85042320.0,CURRENT TRANSFORMERS CT132M300/5-2.5/1 13S CT RATIO:300/5 VA:2.5 CLASS-1 FEET & DIN CLIP,United Kingdom,India,92,794.3,,,300.0,0.005,True
14-Feb-23,85042320.0,CURRENT TRANSFORMERS CT143M400/5-2.5/1 14S CT RATIO:400/5 VA:2.5 CLASS1 TYPE 143-5-K6,United Kingdom,India,79,755.47,,,400.0,0.005,True
14-Feb-23,85042320.0,CURRENT TRANSFORMERS CT164M600/5-5/1 16S RATIO:600/5 VA:5 CLASS1 TYPE 164-5-H5,United Kingdom,India,45,556.93,,,600.0,0.005,True
2-Feb-23,85042310.0,DC STABILIZED VOLTAGE POWER SUPPLY STPB1478,China,India,200,8982.52,,,,,False
29-Jan-23,8504230009.0,SINGLE-PHASE ELECTRIC TRANSFORMER WITH POWER 533000 KVA WITH LIQUID DIELECTRIC. DESIGNED FOR CONVERSION OF ELECTRIC ENERGY OF INDUSTRIAL FREQUENCY 50 Hz. PURPOSE: CONVERSION OF ELE...,Russia,India,,,533000.0,,,,True
10-Jan-23,85042321.0,"M.áy biến áp sử dụng điện môi lỏng(dầu), 3 pha, điện áp danh định 38.5-6.6kV. Công suất danh định 16MVA. Số seri:221531-01. Hãng sản xuất: EEMC#&VN",Vietnam,India,1 SET,245060.0,16000.0,,,,False
5-Jan-23,85042320.0,VOLTAGE SENSOR VS4000B,United Arab Emirates,India,24,8260.61,,,,,False
30-Dec-22,85042310.0,"TRANSFORMER;TYPE:REGULATING;VOLTAGE RATING:11.5/12.8-2.5 KV,CURRENT RATING:3765/A,APPARENT POWER:75 MVA,PHASE QUANTITY:3",China,India,1,692285.0,75000.0,,,,True
30-Dec-22,85042310.0,"TRANSFORMER;TYPE:RECTIFIER;VOLTAGE RATING:12075/651V AC,CURRENT RATING:581 A,APPARENT POWER:12155 KVA,PHASE QUANTITY:3,F",China,India,1,228400.0,12155.0,,12075.0,0.651,True
23-Dec-22,85042330.0,Power supply 160W28VLPS-U161S28E,China,India,1000,3230.0,,,,,False
23-Dec-22,85042330.0,Power supply 160W24VLPS-U161S24E,China,India,1000,3230.0,,,,,False
4-Dec-22,85042310.0,TRANSFORMER,China,India,6,200.0,,,,,True
4-Dec-22,85042320.0,LINE COMMUTATING INVERTER ALONG WITH COMMISSIONING AND OPERATING SPARES,Switzerland,India,1,1371297.13,,,,,False
28-Nov-22,85042330.0,220KV/132KV 75/105/150 MVA POWER TRANSFORMER PAC CERT.NO:CGM/UMB/SYS:CP-304/OHE/2020 DT.27.09.2022INV.NO.XBZT-CP304-1,China,India,1,969916.18,150000.0,,220.0,132.0,True
28-Nov-22,85042310.0,"132/54 KV 30/42/50 MVA ONAN/ONAF/OFAF SINGLE PHASE TRACTION TRANSFORMER V-CONNECTED WITH COOLING FANS,PUMPS AND NIFPS.",China,India,1,391022.05,50000.0,,132.0,54.0,False
28-Nov-22,85042320.0,"220/54 KV 30/42/50 MVA ONAN/ONAF/OFAF SINGLE PHASE TRACTION TRANSFORMER V-CONNECTED WITH COOLING FANS, PUMPS AND NIFPS",China,India,3,1378315.76,50000.0,,220.0,54.0,False
21-Oct-22,85042340.0,HIGH VOLTAGE POWER SUPPLY RB 10-30P SPARE PARTS / ACCESSORIES / COMPONENT FOR THICKNESS GAUGE INDUSTRIES USE,Japan,India,10,4769.04,,,,,False
21-Oct-22,85042310.0,POWER TRANSFORMER 50MVA 132/33 KV 3 PHASE AUTO TRANSFORMER DO,Nepal,India,1,890691.6,50000.0,,132.0,33.0,True
20-Oct-22,85042340.0,"POWER SUPPLY SOURCE BLACK ASSY , 80KVP /250UA PARTS FOR THICKNESS GAUGE INDUSTRIES USE",United States,India,3,14085.0,,,,,False
6-Oct-22,85042340.0,Power Pack Universal - 100 - 240 V - 12 V / 1 A DC NEW / NEU,Germany,India,4,42.71,,,,,False
6-Oct-22,85042340.0,Power Pack 15/16V AC / AC UK 295 #6418412001 Power supply 550mA/16V,Germany,India,3,37.43,,,15.0,0.016,False
6-Oct-22,85042340.0,Power Pack 16V/500mA AC - alte Modelle und 295-4 230V AC / 16V AC 500mA,Germany,India,2,24.95,,,,,False
5-Oct-22,85042340.0,MWO-2517470000007043H.V.TRANSFORMERPARTS FOR OVEN USE,China,India,20,1607.33,,,,,True
17-Oct-24,85042310.0,"T&R MAKE 8500 KVA 8.50 MVA, 1PHASE OIL",India,Oman,1 NOS,385626.83,8500.0,,,,True
17-Oct-24,85042310.0,"T&R MAKE 8500 KVA 8.50 MVA, 1PHASE OIL",India,Oman,1 NOS,385626.83,8500.0,,,,True
17-Oct-24,85042310.0,"T&R MAKE 8500 KVA 8.50 MVA, 1PHASE OIL",India,Oman,1 NOS,385626.83,8500.0,,,,True
11-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 90",India,Cameroon,1 NOS,651025.0,50000.0,,,,True
11-Oct-24,85042320.0,"T&R MAKE SPARES FOR 90 MVA, 132/34.5 KV",India,Iraq,1 NOS,69535.74,90000.0,,132.0,34.5,False
11-Oct-24,85042310.0,"33/0.415KV, 300 KVA, EARTHING TRANS",India,Nigeria,1 NOS,34659.78,300.0,,33.0,0.415,False
11-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
11-Oct-24,85042310.0,"33/0.415KV, 300 KVA, EARTHING TRANS",India,Nigeria,1 NOS,34659.78,300.0,,33.0,0.415,False
10-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
