Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Quantity,Original Unit Price (USD)
17-Oct-24,85042310.0,"T&R MAKE 8500 KVA 8.50 MVA, 1PHASE OIL",India,Oman,385626.83,8500.0,,,,True,Real (Market),1,385626.83
11-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 90",India,Cameroon,651025.0,50000.0,,,,True,Real (Market),1,651025.0
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 22",India,Cameroon,726088.2,50000.0,,,,True,Real (Market),1,726088.2
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 90",India,Cameroon,651025.0,50000.0,,,,True,Real (Market),1,651025.0
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 22",India,Cameroon,726088.2,50000.0,,,,True,Real (Market),1,726088.2
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 90",India,Cameroon,651025.0,50000.0,,,,True,Real (Market),1,651025.0
10-Oct-24,85042310.0,POWER TRANSFORMER ELECTROTHERM 28/36.4/4,India,Guatemala,305137.52,,,,,True,Real (Market),1,305137.52
9-Oct-24,85042310.0,"Main Tank of Transformer, 32/40/50M",India,Cameroon,651025.0,,,,,True,Real (Market),1,651025.0
9-Oct-24,85042310.0,POWER TRANSFORMER ELECTROTHERM 28/36.4/4,India,Guatemala,305137.52,,,,,True,Real (Market),1,305137.52
9-Oct-24,85042310.0,"Main Tank of Transformer,32/40/50MV",India,Cameroon,726088.2,,,,,True,Real (Market),1,726088.2
9-Oct-24,85042310.0,"Main Tank of Transformer, 32/40/50M",India,Cameroon,651025.0,,,,,True,Real (Market),1,651025.0
5-Oct-24,85042310.0,"TRANSFORMER 2.2MVA, 0.4/11KV,OLTC, 2WIND",India,Kenya,71325.17,2200.0,,0.4,11.0,True,Real (Market),1,71325.17
1-Oct-24,85042310.0,1 PHASE FURNACE TRANSFORMER FURNACE EQU,India,Tanzania,79712.645,,,,,True,Real (Market),2,159425.29
1-Oct-24,85042310.0,1 PHASE FURNACE TRANSFORMER FURNACE EQU,India,Tanzania,79712.645,,,,,True,Real (Market),2,159425.29
